,precision,recall,f1-score,support
Angry,0.619235836627141,0.4906054279749478,0.5474665113570181,958.0
Disgust,0.6756756756756757,0.45045045045045046,0.5405405405405406,111.0
Fear,0.4728132387706856,0.390625,0.42780748663101603,1024.0
Happy,0.8125643666323378,0.8895152198421646,0.8493003229278795,1774.0
Sad,0.5288808664259927,0.7128953771289538,0.6072538860103627,1233.0
Surprise,0.501577287066246,0.5100240577385726,0.5057654075546719,1247.0
Neutral,0.8261562998405104,0.6233453670276775,0.710562414266118,831.0
accuracy,0.6312343271106158,0.6312343271106158,0.6312343271106158,0.6312343271106158
macro avg,0.633843367291227,0.5810658428803953,0.5983852241839438,7178.0
weighted avg,0.6349945311839054,0.6312343271106158,0.6267926202271996,7178.0
